연번,노선명,역명,엘리베이터,에스컬레이터,휠체어리프트
272,안산선,능길역사,4,0,0
273,안산선,오이도역사,4,4,0
274,안산선,정왕역사,2,4,0
275,안산선,중앙역사,2,0,0
276,안산선,초지역사,2,0,0
277,안산선,한대앞역사,3,6,0
278,경강선,강릉역사,3,6,0
279,경강선,둔내역사,2,6,0
280,경강선,만종역사,4,8,0
281,경강선,진부역사,2,6,0
282,경강선,평창역사,3,8,0
283,경강선,횡성역사,2,6,0
284,동해북부선,제진역사,0,0,0
285,묵호항선,묵호항역사,0,0,0
286,북평선,삼화역사,0,0,0
287,삼척선,삼척역사,0,0,0
288,삼척선,삼척해변역사,0,0,0
289,영동선,안인역사,0,0,0
290,영동선,옥계역사,0,0,0
291,영동선,동해역사,0,0,0
292,영동선,도계역사,0,0,0
293,영동선,철암역사,2,0,0
294,영동선,정동진역사,0,0,0
295,영동선,마차리역사,0,0,0
296,영동선,망상역사,0,0,0
297,영동선,묵호역사,0,0,0
298,영동선,미로역사,0,0,0
299,영동선,신기역사,0,0,0
300,영동선,고사리역사,0,0,0
301,영동선,동백산역사,3,0,0
302,영동선,동점역사,0,0,0
303,영동선,백산역사,0,0,0
304,영동선,하고사리역사,0,0,0
305,태백선,문곡역사,0,0,0
306,태백선,추전역사,0,0,0
307,태백선,태백역사,1,0,0
308,강경선,연무대역사,0,0,0
309,경부고속,대전역사,10,28,1
310,경부고속,오송역사,16,20,0
311,경부고속,천안아산역사,2,14,0
312,경부선,두정역사,4,0,0
313,경부선,성환역사,6,0,0
314,경부선,직산역사,4,0,0
315,경부선,탕정역사,2,4,0
316,경부선,대전조차장역사,0,0,0
317,경부선,회덕역사,0,0,0
318,경부선,매포역사,0,0,0
319,경부선,부강역사,0,0,0
320,경부선,소정리역사,0,0,0
321,경부선,각계역사,0,0,0
322,경부선,세천역사,0,0,0
323,경부선,심천역사,0,0,0
324,경부선,영동역사,3,4,0
325,경부선,옥천역사,3,6,0
326,경부선,이원역사,0,0,0
327,경부선,지탄역사,0,0,2
328,경부선,추풍령역사,0,0,0
329,경부선,황간역사,0,0,0
330,경부선,신탄진역사,3,0,0
331,경부선,전의역사,0,0,0
332,경부선,조치원역사,4,1,0
